Date / Time,City,State,Shape,Duration,Summary,Posted
8/1/20 20:41,Sebago,ME,Light,20 seconds,"Two luminous lights one behind the other, much brighter than stars or satellites",8/6/20
8/1/20 20:00,Detroit,MI,Light,5  minutes,Two giant light orbs moving over Detroit.,3/2/21
8/1/20 19:45,Worcester,MA,Light,7 seconds,"I saw a white light that I thought was a flare shoot up from the earth, hover, turn white to red, circle, then shoot off into the sky.",8/6/20
8/1/20 19:16,Mesa,AZ,Disk,1 minute,"I was walking back to a residence from a fast-food place on Mesa Drive and Southern, and as I passed a line of two story townhomes, fro",8/6/20
8/1/20 17:50,Keene,NH,Sphere,1 minute,Shiny metallic object passed over my house.,8/6/20
8/1/20 17:00,Spicewood,TX,Changing,10 minutes,"orange lights seen in the area of Briarcliff, Texas near Lake Travis.",8/6/20
8/1/20 14:00,Newberg,OR,Other,10 minutes,"Strange Cloud Shape form almost triangular with colors of yellowish green, reds..",8/6/20
8/1/20 12:45,Howell,NJ,Sphere,3 minutes,Saw a silver spherical flying object over I-195 moving too fast to catch and disappeared after a few miles.,8/6/20
8/1/20 10:50,Meriden,CT,Chevron,20 seconds,"White Chevron shaped object  flies faster than a jet, does loop and disappears",8/6/20
8/1/20 10:30,Meriden,CT,Rectangle,35,Black object in clear blue sky with sun glistening off of it.,8/6/20
8/1/20 07:00,Billings,MT,Oval,,Oval object in sw in morning daylight,8/6/20
8/1/20 06:30,Blackfoot River,MT,Disk,6mins,Single UFO: Sighting location  the Blackfoot river Montana,5/20/21
8/1/20 05:53,Kendall,FL,Unknown,Half an hour,3 Curious Crafts,8/6/20
8/1/20 04:00,Lehighton,PA,Light,60 minutes,This is the 3rd experiences I've had in a 4-5 week span. Each experience has one common denominator a circle of brilliant white light t,8/6/20
8/1/20 04:00,N. Wales,PA,Chevron,30 minutes,Three bright lights in the sky that disappeared into darkness after I took three pictures.,8/6/20
8/1/20 03:04,Melbourne,FL,Oval,6 minutes,I don't know what this is. If you could conform this video for me that would be great. Thank you.,8/6/20
8/1/20 01:10,Big Falls,MN,Triangle,3 seconds,"I was sitting on my back porch smoking, when I thought I saw a shooting star above the tree line. I looked up to watch it, and saw that",8/6/20
8/1/20 01:00,Reading (UK/England),,Triangle,1 minutes,"Huge, triangular craft",11/5/20
8/1/20 00:00,Portland,OR,Light,30-40 seconds,Saw light round object hovering.,8/6/20
Date / Time,City,State,Shape,Duration,Summary,Posted
7/31/20 23:15,Temecula,CA,Sphere,1 minute,"My fiance and I while stargazing saw a small circular light moving downward and flashing, then it split into 2 while stopped, then a 3r",8/6/20
7/31/20 23:00,Spanish Fort,AL,Changing,15 minutes,"Two stars move, one transforms into a triangular object. It moves multiple times, then rockets off through the earth's atmosphere",8/6/20
7/31/20 22:53,Honolulu,HI,Chevron,5 minutes,V Shaped bright light object flying unusually in the sky without a beacon light,8/6/20
7/31/20 22:30,Toronto,ON,Egg,3 seconds,"An oval light, orange in the centre and fading to yellow/white flew north-west to south-east across the sky. Faster than an airplane, s",8/6/20
7/31/20 22:30,Farmington,UT,Sphere,45 seconds,Came from the North flying South just above the clouds in flight pattern never seen before and fast that anything on earth ascended up,8/6/20
7/31/20 22:00,Brooksville,FL,Triangle,5 minutes,"Me and my friend were outside smoking and I looked up and said look at that!it was 3 lights flashing,in sync but was spread out to for",8/6/20
7/31/20 22:00,La Selva Beach,CA,Light,2 minutes,Looking at stars over Monterey Bay.  Saw a very bright red light moving erratically near another white star.  Appeared to be dancing in,8/6/20
7/31/20 21:45,East Haddam,CT,Light,2 minutes,"Low lying bright light moves over farmland in East Haddam, CT.",8/6/20
7/31/20 21:30,Oyster Bay,NY,Light,15 minutes,2 lights were seen moving at incredible speeds in night sky for sustained period of time.,8/6/20
7/31/20 21:26,Monroe Twp,NJ,Diamond,3-4 minutes,10-12 Orange Glowing slanted oval shaped objects in formation seen with no sound.,8/6/20
7/31/20 21:25,Duxbury,MA,Sphere,3 minutes,Object rose completely vertically to a point and continued completely horizontally until abruptly vanishing.,8/6/20
7/31/20 20:46,Redmond,OR,Oval,15 minutes,"Glowing oval UFO see drop in altitude very quickly, then hover over town.",8/6/20
7/31/20 20:00,New York,NY,Light,2 sec,"streak of light, approx 1000 ft in the air, travelled a distance of approx 500ft toward the ground, zig-zagged, then shifted direction",8/6/20
7/31/20 19:41,Marion,NC,Light,,When what is naked to the eye reviles through photo,8/6/20
7/31/20 19:21,Marion,NC,Light,,When what is naked to the eye reviles through photo,8/20/20
7/31/20 19:00,Long Beach,CA,Rectangle,10 minutes,Black rectangle Box floating up to the clouds and then when in-and-out of clouds no noise looked almost like it had some kind of force,8/6/20
7/31/20 18:40,Brooklyn,NY,Oval,1 min,Two fast-moving black shapes,8/6/20
7/31/20 16:00,Vancouver,WA,Cigar,20 seconds,"Extraordinarily bright, metallic, cigar shaped object moving with unchanging speed and direction disappears into trees.",8/6/20
